project,Submission Table Number,link,Desired Prizes
PedestrianDetect,101,https://brickhackv.devpost.com/submissions/112653-pedestriandetect,"Best Use of 5G Currencies in Immersive Media, Best Community Impact, Datto: Most socially impactful project"
Wegify,101,https://brickhackv.devpost.com/submissions/112707-wegify,"Best Design, Best iOS App"
Where am I?,102,https://brickhackv.devpost.com/submissions/112524-where-am-i,"Most Creative Use of Vuzix Blade AR Smart Glasses, Best Newbie Hack"
Keyboard AR,102,https://brickhackv.devpost.com/submissions/112541-keyboard-ar,Most Creative Use of Vuzix Blade AR Smart Glasses
Rizmi Scholars,103,https://brickhackv.devpost.com/submissions/112667-rizmi-scholars,"Best Community Impact, Datto: Most socially impactful project"
EZTas Switch Tool,103,https://brickhackv.devpost.com/submissions/112555-eztas-switch-tool,Best Design
brickhack_project,104,https://brickhackv.devpost.com/submissions/112221-brickhack_project,(no prizes submitted)
Wiki for Movies/Shows,104,https://brickhackv.devpost.com/submissions/112628-wiki-for-movies-shows,Best API Mash-Up Using Wegmans Data
Mega Pool,104,https://brickhackv.devpost.com/submissions/112642-mega-pool,"Best Game, Best Design, Best Newbie Hack"
mtgpricepoint,105,https://brickhackv.devpost.com/submissions/112766-mtgpricepoint,(no prizes submitted)
brickhack-2,105,https://brickhackv.devpost.com/submissions/112704-brickhack-2,Best Game
VuPix,106,https://brickhackv.devpost.com/submissions/112600-vupix,"Most Creative Use of Vuzix Blade AR Smart Glasses, Best VR/AR Hack"
TempTune,106,https://brickhackv.devpost.com/submissions/112664-temptune,"Best Multimedia Hack, Best Design, Best Newbie Hack, Best ""Brick"" Hack, Snap Kit Prize, Datto: Most socially impactful project"
MayContain - Wegmans x Blade,107,https://brickhackv.devpost.com/submissions/112694-maycontain-wegmans-x-blade,"Best API Mash-Up Using Wegmans Data, Best VR/AR Hack, Most Creative Use of Vuzix Blade AR Smart Glasses"
HackTunes,107,https://brickhackv.devpost.com/submissions/112427-hacktunes,"Best Multimedia Hack, Best Game, Best Design, Best ""Brick"" Hack"
You Said What?!,108,https://brickhackv.devpost.com/submissions/112531-you-said-what,Best Use of Google Cloud Platform
Elder Scrolls Dungeon Crawler,108,https://brickhackv.devpost.com/submissions/112529-elder-scrolls-dungeon-crawler,"Best Game, Best Newbie Hack, Best Community Impact"
WadaWada,109,https://brickhackv.devpost.com/submissions/112678-wadawada,"Best API Mash-Up Using Wegmans Data, Best Newbie Hack, Hack Our Health, Best Community Impact"
Stress Check,109,https://brickhackv.devpost.com/submissions/112728-stress-check," Most Commercially Viable Product, Best ""Brick"" Hack, Datto: Most socially impactful project, Best iOS App, Best Community Impact, Hack Our Health, Best Newbie Hack"
IMG2MP3,110,https://brickhackv.devpost.com/submissions/112706-img2mp3,"Best Multimedia Hack, Best ""Brick"" Hack"
Elpis,110,https://brickhackv.devpost.com/submissions/112683-elpis,"Best Design, Best Newbie Hack, Best ""Brick"" Hack, Hack Our Health, Best Domain Name from Domain.com, Snap Kit Prize, Best Community Impact, Datto: Most socially impactful project"
Hapi,111,https://brickhackv.devpost.com/submissions/112620-hapi,Best Use of Google Cloud Platform
Guitar Hero,111,https://brickhackv.devpost.com/submissions/112716-guitar-hero,(no prizes submitted)
MEGOBUS Cyberspace Roadtrip,112,https://brickhackv.devpost.com/submissions/112630-megobus-cyberspace-roadtrip,"Best Game, Best Design"
Leggo My Weggo,112,https://brickhackv.devpost.com/submissions/112371-leggo-my-weggo,"Best Use of Google Cloud Platform, Best Domain Name from Domain.com"
